ID;NAME;TYPE;SRC;REFYEAR
18490453;ADECCO GROUP AG;FIN_REP;https://www.adeccogroup.com/-/media/project/Adecco%20Group/adeccogroup/pdf-files/2024-march/the-adecco-group-annual-report-2023.pdf;2023
18490453;ADECCO GROUP AG;OTHER;https://companiesmarketcap.com/inr/adecco-group/revenue/;2024
18490453;ADECCO GROUP AG;OTHER;https://finance.yahoo.com/quote/AHEXY/;2024
18490453;ADECCO GROUP AG;OTHER;https://www.reuters.com/markets/companies/ADEN.S/;2024
18490453;ADECCO GROUP AG;OTHER;https://www.google.com/finance/quote/SGSN:SWX;2024
18490453;ADECCO GROUP AG;OTHER;;
18503381;JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY;FIN_REP;https://investors.johnsoncontrols.com/~/media/Files/J/Johnson-Controls-IR-V2/annual-meeting-materials/annual-reports/2024-annual-report-proxy-statement.pdf;2024
18503381;JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY;OTHER;https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/;2024
18503381;JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY;OTHER;https://finance.yahoo.com/quote/JCI/;2024
18503381;JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY;OTHER;https://www.reuters.com/markets/companies/JCI.N;2024
18503381;JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY;OTHER;;
18503381;JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY;OTHER;;
18503440;MAGNA INTERNATIONAL INC;FIN_REP;https://www.magna.com/docs/default-source/financial-reports-public-filings/annual-reports/2024-annual-report---magna---aoda.pdf?sfvrsn=188e000d_11;2024
18503440;MAGNA INTERNATIONAL INC;OTHER;https://companiesmarketcap.com/magna-international/revenue/;2024
18503440;MAGNA INTERNATIONAL INC;OTHER;https://www.reuters.com/markets/companies/mga/;2024
18503440;MAGNA INTERNATIONAL INC;OTHER;https://finance.yahoo.com/quote/MGA/;2024
18503440;MAGNA INTERNATIONAL INC;OTHER;https://www.google.com/finance/quote/MG:TSE;2024
18503440;MAGNA INTERNATIONAL INC;OTHER;;
18511746;PUBLICIS GROUPE S A;FIN_REP;https://documents.publicisgroupe.com/urd2023/PBS2023_PUBLICIS_URD_EN_MeL_24_05_07.pdf;2023
18511746;PUBLICIS GROUPE S A;OTHER;https://finance.yahoo.com/quote/PUB.PA/;2024
18511746;PUBLICIS GROUPE S A;OTHER;https://companiesmarketcap.com/france/largest-french-companies-by-revenue/;2024
18511746;PUBLICIS GROUPE S A;OTHER;https://www.google.com/finance/quote/BN:EPA;2024
18511746;PUBLICIS GROUPE S A;OTHER;https://www.reuters.com/markets/companies/PUBP.PA;2024
18511746;PUBLICIS GROUPE S A;OTHER;;
18512048;GEBR. KNAUF;FIN_REP;https://forbo.blob.core.windows.net/forbodocuments/41f1ccfc-cbb7-45d8-9ad2-e3786287272b/Forbo_Geschaeftsbericht_2024_en_Gesamtbericht.pdf;2024
18512048;GEBR. KNAUF;OTHER;;
18512048;GEBR. KNAUF;OTHER;;
18512048;GEBR. KNAUF;OTHER;;
18512048;GEBR. KNAUF;OTHER;;
18512048;GEBR. KNAUF;OTHER;;
18519151;BRIDGESTONE CORPORATION;FIN_REP;https://www.bridgestone.com/ir/library/integrated_report/pdf/2024/ir2024_spread.pdf;2024
